iter	Passed	Remaining
0	1	154
1	5	260
2	8	279
3	12	293
4	13	249
5	14	232
6	18	245
7	21	251
8	25	256
9	25	233
10	27	219
11	30	225
12	32	216
13	33	206
14	37	209
15	40	212
16	42	208
17	46	210
18	51	218
19	54	219
20	58	219
21	61	218
22	64	217
23	68	216
24	72	216
25	75	214
26	79	214
27	82	212
28	84	207
29	88	206
30	92	205
31	93	198
32	96	196
33	100	194
34	103	192
35	104	185
36	108	184
37	111	181
38	114	179
39	118	177
40	121	175
41	125	172
42	128	170
43	131	167
44	135	165
45	138	162
46	142	160
47	145	157
48	149	155
49	152	152
50	155	149
51	158	146
52	162	143
53	165	141
54	169	138
55	172	135
56	176	132
57	179	130
58	182	127
59	186	124
60	189	121
61	193	118
62	197	115
63	200	112
64	204	109
65	207	107
66	211	104
67	214	100
68	217	97
69	221	94
70	224	91
71	228	88
72	231	85
73	234	82
74	236	78
75	240	75
76	243	72
77	244	68
78	247	65
79	251	62
80	254	59
81	257	56
82	261	53
83	264	50
84	268	47
85	271	44
86	274	41
87	278	37
88	281	34
89	285	31
90	288	28
91	292	25
92	297	22
93	301	19
94	308	16
95	312	13
96	317	9
97	321	6
98	324	3
99	331	0
