iter	Logloss
0	0.6850081117
1	0.6772893788
2	0.6699640662
3	0.6614733994
4	0.6532158606
5	0.6466733833
6	0.6400346304
7	0.6329132936
8	0.6269076568
9	0.6208203507
10	0.61360042
11	0.607598355
12	0.5997987547
13	0.5940874213
14	0.5869766432
15	0.5806215427
16	0.5747559065
17	0.5705158592
18	0.5651460936
19	0.5590246345
20	0.5534979567
21	0.5491507651
22	0.5447573065
23	0.5400403482
24	0.5352681413
25	0.5320360882
26	0.5277429611
27	0.5230399565
28	0.5185246722
29	0.5136455781
30	0.509946022
31	0.504946349
32	0.501072311
33	0.4965700611
34	0.4929152132
35	0.4888312874
36	0.4853846099
37	0.4819374242
38	0.4780331341
39	0.4748306124
40	0.4715500123
41	0.4676363139
42	0.463099897
43	0.4593277592
44	0.4556346754
45	0.4533182657
46	0.450338437
47	0.4475513693
48	0.4452641426
49	0.4415273575
50	0.4382266984
51	0.4353574633
52	0.4322796938
53	0.4295762659
54	0.4270623919
55	0.4248979491
56	0.4224264634
57	0.4197122956
58	0.4172302688
59	0.4148090501
60	0.4127834618
61	0.4102227238
62	0.4081499638
63	0.405701308
64	0.4031837681
65	0.4010842058
66	0.399087289
67	0.3983476363
68	0.3963432656
69	0.3940614722
70	0.3918521667
71	0.3895863799
72	0.3872029586
73	0.3850488705
74	0.3835654413
75	0.3814362541
76	0.3792964918
77	0.377571325
78	0.3757455803
79	0.3743758206
80	0.37258081
81	0.3705217469
82	0.3690632268
83	0.3678056147
84	0.3661492138
85	0.3643165086
86	0.3623725515
87	0.360558995
88	0.3590385303
89	0.3574467887
90	0.3559436118
91	0.353938142
92	0.3525998384
93	0.3507919039
94	0.349196894
95	0.3480503548
96	0.3474961235
97	0.3456329446
98	0.3445586828
99	0.3434387429
100	0.3427668207
101	0.3416902371
102	0.3403955347
103	0.3393520447
104	0.337943496
105	0.3368089693
106	0.3355648297
107	0.3343457371
108	0.3329701213
109	0.3316395089
110	0.3308899392
111	0.3299374554
112	0.3286933621
113	0.3275861088
114	0.3265408532
115	0.3252282371
116	0.3241427325
117	0.3231500878
118	0.3222699083
119	0.3208441282
120	0.3199732935
121	0.3189801327
122	0.3180779838
123	0.3171010852
124	0.3162007527
125	0.3153652207
126	0.3146221857
127	0.3137370451
128	0.3129898762
129	0.3121321139
130	0.3108454716
131	0.3097295319
132	0.3088849303
133	0.3076591769
134	0.3068578719
135	0.306072855
136	0.305222194
137	0.3045738641
138	0.3037013791
139	0.3029435894
140	0.3019592875
141	0.3014063034
142	0.3005193845
143	0.2996178487
144	0.2986270353
145	0.2979471327
146	0.2974471698
147	0.2968388491
148	0.296065673
149	0.2954520288
150	0.2953291725
151	0.2945505651
152	0.2937969583
153	0.2927172005
154	0.2921064149
155	0.2913349731
156	0.2906437433
157	0.290117798
158	0.289267727
159	0.2885583808
160	0.2877209175
161	0.2870447243
162	0.2866385901
163	0.285928031
164	0.2850535138
165	0.2843328872
166	0.2839930606
167	0.2829823379
168	0.282476613
169	0.2819574991
170	0.2809884236
171	0.2806681822
172	0.2799834487
173	0.279354462
174	0.2790923669
175	0.278400149
176	0.2779525077
177	0.2772909887
178	0.2765273386
179	0.2759462332
180	0.2754545372
181	0.2751995066
182	0.274368775
183	0.2737998858
184	0.2734150087
185	0.272839807
186	0.2722811322
187	0.2718049841
188	0.2713199627
189	0.2704572646
190	0.2701066858
191	0.2695774515
192	0.2691005178
193	0.2684826463
194	0.2681413938
195	0.2675558364
196	0.2669250406
197	0.2663459112
198	0.2657784384
199	0.2653141619
200	0.2647595199
201	0.2641452414
202	0.2637626899
203	0.2631594356
204	0.2624505833
205	0.2618527392
206	0.261441175
207	0.2608787869
208	0.2602426833
209	0.2597854003
210	0.2594091146
211	0.2590871646
212	0.2586441765
213	0.258349164
214	0.2579946533
215	0.2576511746
216	0.2570971411
217	0.2565913619
218	0.2562052864
219	0.2557957727
220	0.25529035
221	0.2550696892
222	0.2547522929
223	0.2542791855
224	0.2535272073
225	0.2529799497
226	0.2526907291
227	0.2523823945
228	0.2519945151
229	0.2516917149
230	0.2514925222
231	0.2509256661
232	0.250363822
233	0.249837136
234	0.249486958
235	0.24908493
236	0.2485601883
237	0.2480081122
238	0.247749433
239	0.2473465577
240	0.2469695463
241	0.2464297834
242	0.2460690425
243	0.2457121161
244	0.2451706871
245	0.2447855498
246	0.2443125924
247	0.2440440042
248	0.2438216706
249	0.2434218674
250	0.2430789564
251	0.2427015385
252	0.2423698134
253	0.2422085529
254	0.2419764421
255	0.2415565019
256	0.2413072473
257	0.2411580015
258	0.2407542411
259	0.2404027682
260	0.2401421963
261	0.2398075309
262	0.2392641076
263	0.2387232032
264	0.2380064939
265	0.2376688167
266	0.2372912672
267	0.2371711979
268	0.236786937
269	0.2365677038
270	0.2360526652
271	0.2357915802
272	0.23536075
273	0.2349653138
274	0.234666744
275	0.2343202647
276	0.2340393709
277	0.2335571808
